"도시별","지출목적별",2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
"전국","0 총지수",91.815,93.010,94.196,94.861,95.783,97.645,99.086,99.466,100.00,102.50
"전국","01 식료품 및 비주류음료",85.626,86.360,86.612,88.041,90.073,93.134,95.717,95.762,100.00,105.89
"전국","01.1 식료품",85.211,85.843,86.041,87.449,89.608,92.885,95.578,95.532,100.00,106.18
"전국","01.2 비주류 음료",92.448,94.797,95.876,97.665,97.501,96.868,97.840,99.235,100.00,101.77
"전국","02 주류 및 담배",63.402,64.460,64.413,96.674,97.338,98.805,99.063,99.682,100.00,100.43
"전국","02.1 주류",85.438,89.383,89.514,90.217,92.217,96.640,97.363,99.109,100.00,101.12
"전국","02.2 담배",56.355,56.409,56.304,100.000,100.000,100.000,100.000,100.000,100.00,100.00
"전국","03 의류 및 신발",87.862,90.431,94.060,95.317,97.029,98.082,99.169,99.270,100.00,100.56
"전국","03.1 의류",87.594,90.722,94.535,95.836,97.398,98.520,99.451,99.388,100.00,100.43
"전국","03.2 신발",89.491,88.628,91.134,92.132,94.727,95.374,97.446,98.531,100.00,101.31
"전국","04 주택, 수도, 전기 및 연료",91.499,94.735,97.451,96.827,96.038,97.666,98.354,99.488,100.00,101.63
"전국","04.1 주택임차료",89.014,91.383,93.527,95.907,97.694,99.271,99.885,99.783,100.00,101.38
"전국","04.3 주거시설 유지 · 보수",77.716,80.244,82.236,84.878,86.447,90.004,94.210,97.863,100.00,104.96
"전국","04.4 수도 및 주거관련 서비스",71.649,75.452,77.902,81.003,84.826,89.108,92.832,96.326,100.00,104.56
"전국","04.5 전기, 가스 및 기타연료",119.674,124.907,129.539,117.119,104.299,103.027,100.249,101.949,100.00,98.63
"전국","05 가정용품 및 가사 서비스",88.743,88.980,90.872,93.225,94.673,95.712,97.875,99.967,100.00,101.87
"전국","05.1 가구, 가사비품 및 카페트",80.386,79.330,80.144,81.777,86.025,88.818,93.737,99.629,100.00,104.57
"전국","05.2 가정용 섬유제품",93.807,94.162,93.290,92.910,93.857,94.751,95.634,97.162,100.00,101.04
"전국","05.3 가정용 기기",91.286,92.151,95.702,99.124,100.714,100.589,101.016,101.582,100.00,99.82
"전국","05.4 주방용품 및 가정용품",89.410,90.324,92.141,96.754,97.397,97.510,98.806,99.035,100.00,100.44
"전국","05.5 가정 · 정원용 공구 및 장비",94.705,98.866,100.015,98.599,98.796,99.875,100.620,99.541,100.00,105.38
"전국","05.6 일상 생활용품 및 가사 서비스",89.260,88.697,90.354,92.609,91.860,93.106,96.519,99.117,100.00,103.20
"전국","06 보건",94.106,94.443,95.108,96.298,97.247,98.109,98.058,98.516,100.00,99.92
"전국","06.1 의료용품 및 장비",96.732,97.191,98.142,99.428,99.397,98.844,97.954,98.797,100.00,98.42
"전국","06.2 외래환자 서비스",91.450,91.244,91.499,92.646,94.159,95.885,97.177,97.888,100.00,101.56
"전국","06.3 병원 서비스",95.923,97.638,98.958,100.046,101.746,103.546,101.311,99.859,100.00,99.38
"전국","07 교통",110.852,110.267,108.496,99.990,97.775,101.277,103.727,101.867,100.00,106.33
"전국","07.1 운송장비",100.082,101.271,101.082,100.106,100.404,101.271,100.082,98.841,100.00,101.62
"전국","07.2 개인운송장비 운영",131.377,128.152,123.568,104.990,98.830,105.116,110.720,105.940,100.00,111.10
"전국","07.3 운송 서비스",84.066,86.522,88.222,90.772,93.449,94.384,95.191,97.896,100.00,101.58
"전국","08 통신",105.419,105.282,105.217,105.017,105.105,105.410,104.507,102.112,100.00,99.10
"전국","08.1 우편서비스",74.340,77.611,82.190,82.190,82.190,87.785,89.644,96.548,100.00,103.33
"전국","08.2 전화 및 팩스장비",108.950,105.685,102.270,96.926,97.199,98.760,99.769,99.113,100.00,92.71
"전국","08.3 전화 및 팩스 서비스",106.877,106.877,106.961,106.999,107.053,107.100,105.717,102.870,100.00,100.97
"전국","09 오락 및 문화",97.964,98.968,99.392,98.906,100.729,100.781,101.272,101.023,100.00,100.43
"전국","09.1 음향, 영상, 사진 및 정보처리 장비",132.024,127.320,119.539,115.043,115.163,112.613,106.765,102.794,100.00,98.44
"전국","09.2 기타 오락 및 문화용 주요 내구재",100.919,101.356,99.623,98.831,98.445,100.747,102.304,102.056,100.00,100.80
"전국","09.3 기타 오락용품, 조경용품 및 애완동물",91.148,92.320,93.981,95.140,98.513,98.616,99.004,97.666,100.00,99.75
"전국","09.4 오락 및 문화 서비스",89.969,90.902,92.451,93.360,94.991,95.934,97.628,99.156,100.00,101.32
"전국","09.5 신문, 서적 및 문방구",88.294,90.600,93.111,95.964,96.520,97.920,98.954,100.550,100.00,100.58
"전국","09.6 단체여행",108.837,111.978,111.778,105.238,107.872,106.207,106.969,105.208,100.00,101.49
"전국","10 교육",93.406,94.504,95.893,97.540,99.135,100.272,101.645,102.178,100.00,100.87
"전국","10.1 유치원 및 초등교육",119.659,92.576,92.079,99.184,101.900,102.998,104.913,104.762,100.00,92.25
"전국","10.3 고등교육",103.036,101.893,101.602,101.534,101.553,101.522,101.226,100.956,100.00,99.88
"전국","10.4 기타교육",84.412,87.500,89.455,91.302,93.293,94.749,96.639,98.487,100.00,101.48
"전국","11 음식 및 숙박",85.342,86.666,87.923,89.974,92.232,94.441,97.292,99.061,100.00,102.73
"전국","11.1 음식 서비스",85.402,86.709,87.958,90.014,92.302,94.530,97.410,99.223,100.00,102.81
"전국","11.2 숙박 서비스",83.844,85.954,87.633,89.350,90.681,92.407,94.475,95.320,100.00,100.46
"전국","12 기타 상품 및 서비스",84.908,85.302,87.932,90.271,93.378,95.967,96.533,98.082,100.00,102.00
"전국","12.1 미용용품 및 미용 서비스",89.844,92.119,95.401,97.265,97.457,97.051,97.675,98.839,100.00,101.14
"전국","12.3 기타 개인용품",76.972,81.195,85.609,92.175,94.302,96.298,97.431,99.505,100.00,99.34
"전국","12.4~7 기타서비스",83.878,78.538,79.098,80.354,87.565,94.248,94.519,96.453,100.00,103.81
"서울특별시","0 총지수",90.605,91.869,93.300,94.470,95.585,97.494,98.799,99.382,100.00,102.10
"서울특별시","01 식료품 및 비주류음료",85.688,85.903,86.106,88.038,89.857,93.614,95.878,95.330,100.00,105.39
"서울특별시","01.1 식료품",85.236,85.327,85.464,87.366,89.271,93.367,95.756,95.023,100.00,105.60
"서울특별시","01.2 비주류 음료",93.074,95.173,96.402,98.779,99.202,97.287,97.644,99.925,100.00,102.51
"서울특별시","02 주류 및 담배",64.176,65.183,64.989,96.145,97.095,98.483,98.722,99.493,100.00,100.67
"서울특별시","02.1 주류",85.325,88.739,88.312,89.118,91.842,95.829,96.483,98.605,100.00,101.61
"서울특별시","02.2 담배",56.346,56.400,56.295,100.000,100.000,100.000,100.000,100.000,100.00,100.00
"서울특별시","03 의류 및 신발",87.294,89.771,93.402,94.916,96.573,97.476,98.508,99.076,100.00,100.66
"서울특별시","03.1 의류",87.015,89.998,93.809,95.371,96.869,97.822,98.685,99.162,100.00,100.55
"서울특별시","03.2 신발",88.614,88.247,90.877,92.117,94.711,95.286,97.380,98.512,100.00,101.30
"서울특별시","04 주택, 수도, 전기 및 연료",89.037,92.441,95.463,95.737,95.486,97.528,98.215,99.355,100.00,101.48
"서울특별시","04.1 주택임차료",85.828,88.279,90.754,93.574,95.904,97.917,98.935,99.258,100.00,101.61
"서울특별시","04.3 주거시설 유지 · 보수",78.508,80.756,82.024,85.289,83.813,88.580,92.239,97.134,100.00,104.66
"서울특별시","04.4 수도 및 주거관련 서비스",73.858,79.682,82.879,84.526,86.265,91.452,94.307,97.826,100.00,104.35
"서울특별시","04.5 전기, 가스 및 기타연료",119.491,125.745,131.584,118.639,104.423,103.297,99.717,101.761,100.00,97.06
"서울특별시","05 가정용품 및 가사 서비스",88.347,88.323,89.479,91.507,92.995,94.070,97.105,99.793,100.00,101.75
"서울특별시","05.1 가구, 가사비품 및 카페트",80.396,79.523,80.338,81.840,86.037,88.867,93.780,99.634,100.00,104.56
"서울특별시","05.2 가정용 섬유제품",94.042,94.350,93.402,93.034,94.043,94.878,95.724,97.079,100.00,101.06
"서울특별시","05.3 가정용 기기",91.475,91.964,95.786,99.197,100.751,100.686,100.984,101.527,100.00,99.76
"서울특별시","05.4 주방용품 및 가정용품",89.324,89.668,91.091,96.681,98.046,97.994,98.689,98.825,100.00,100.38
"서울특별시","05.5 가정 · 정원용 공구 및 장비",93.695,97.504,98.606,97.666,98.039,99.388,100.253,99.307,100.00,106.22
"서울특별시","05.6 일상 생활용품 및 가사 서비스",86.746,86.072,85.445,86.574,86.525,87.677,94.134,98.714,100.00,102.49
"서울특별시","06 보건",93.785,94.313,94.945,95.959,96.900,97.786,97.844,98.453,100.00,99.78
"서울특별시","06.1 의료용품 및 장비",96.158,97.313,98.406,99.214,99.116,98.552,97.805,98.697,100.00,97.86
"서울특별시","06.2 외래환자 서비스",91.093,90.902,91.056,92.158,93.655,95.438,96.831,97.852,100.00,101.54
"서울특별시","06.3 병원 서비스",96.277,97.838,99.057,100.181,101.856,103.386,101.210,99.790,100.00,99.34
"서울특별시","07 교통",104.921,104.687,103.445,98.352,97.919,100.507,102.201,101.522,100.00,104.64
"서울특별시","07.1 운송장비",99.939,101.115,100.985,100.121,100.389,101.245,100.076,98.851,100.00,101.63
"서울특별시","07.2 개인운송장비 운영",128.280,125.423,121.376,104.134,98.962,104.842,109.662,105.657,100.00,109.52
"서울특별시","07.3 운송 서비스",85.546,87.089,87.918,92.086,95.882,96.163,96.854,99.498,100.00,100.99
"서울특별시","08 통신",105.181,105.095,105.096,104.999,105.091,105.429,104.518,102.123,100.00,99.19
"서울특별시","08.1 우편서비스",74.340,77.611,82.190,82.190,82.190,87.785,89.644,96.548,100.00,103.33
"서울특별시","08.2 전화 및 팩스장비",109.305,105.783,102.258,96.926,97.199,98.760,99.769,99.113,100.00,92.71
"서울특별시","08.3 전화 및 팩스 서비스",106.854,106.854,106.938,106.979,107.036,107.091,105.709,102.861,100.00,100.96
"서울특별시","09 오락 및 문화",99.031,100.041,100.362,99.421,101.361,101.441,101.840,101.382,100.00,100.42
"서울특별시","09.1 음향, 영상, 사진 및 정보처리 장비",129.471,125.465,118.822,114.977,114.843,112.048,106.464,102.743,100.00,98.30
"서울특별시","09.2 기타 오락 및 문화용 주요 내구재",96.162,99.676,98.352,97.871,97.654,100.090,101.571,101.860,100.00,101.37
"서울특별시","09.3 기타 오락용품, 조경용품 및 애완동물",92.510,92.795,94.415,94.995,98.924,99.400,100.142,98.026,100.00,99.77
"서울특별시","09.4 오락 및 문화 서비스",90.556,91.392,92.733,93.580,95.304,96.400,97.721,99.098,100.00,101.40
"서울특별시","09.5 신문, 서적 및 문방구",87.818,90.162,92.850,95.680,96.269,97.727,98.854,100.726,100.00,100.35
"서울특별시","09.6 단체여행",108.640,111.867,111.705,105.228,107.858,106.196,106.957,105.198,100.00,101.52
