연도,도시,품목코드,대분류_품목,대분류_물가지수,중분류_품목,중분류_물가지수
2012,강원도,01,식료품 및 비주류음료,85.572,식료품,85.084
2012,강원도,01,식료품 및 비주류음료,85.572,비주류 음료,93.284
2012,강원도,02,주류 및 담배,63.221,주류,83.92
2012,강원도,02,주류 및 담배,63.221,담배,56.378
2012,강원도,03,의류 및 신발,87.349,의류,87.308
2012,강원도,03,의류 및 신발,87.349,신발,87.725
2012,강원도,04,"주택, 수도, 전기 및 연료",94.98,주택임차료,93.428
2012,강원도,04,"주택, 수도, 전기 및 연료",94.98,주거시설 유지 · 보수,78.603
2012,강원도,04,"주택, 수도, 전기 및 연료",94.98,수도 및 주거관련 서비스,65.953
2012,강원도,04,"주택, 수도, 전기 및 연료",94.98,"전기, 가스 및 기타연료",121.583
2012,강원도,05,가정용품 및 가사 서비스,88.725,"가구, 가사비품 및 카페트",79.58
2012,강원도,05,가정용품 및 가사 서비스,88.725,가정용 섬유제품,93.889
2012,강원도,05,가정용품 및 가사 서비스,88.725,가정용 기기,90.653
2012,강원도,05,가정용품 및 가사 서비스,88.725,주방용품 및 가정용품,93.195
2012,강원도,05,가정용품 및 가사 서비스,88.725,가정 · 정원용 공구 및 장비,93.908
2012,강원도,05,가정용품 및 가사 서비스,88.725,일상 생활용품 및 가사 서비스,89.111
2012,강원도,06,보건,94.798,의료용품 및 장비,98.864
2012,강원도,06,보건,94.798,외래환자 서비스,91.046
2012,강원도,06,보건,94.798,병원 서비스,96.299
2012,강원도,07,교통,112.257,운송장비,100.102
2012,강원도,07,교통,112.257,개인운송장비 운영,129.047
2012,강원도,07,교통,112.257,운송 서비스,81.576
2012,강원도,08,통신,105.519,우편서비스,74.34
2012,강원도,08,통신,105.519,전화 및 팩스장비,107.892
2012,강원도,08,통신,105.519,전화 및 팩스 서비스,106.872
2012,강원도,09,오락 및 문화,97.361,"음향, 영상, 사진 및 정보처리 장비",133.064
2012,강원도,09,오락 및 문화,97.361,기타 오락 및 문화용 주요 내구재,102.035
2012,강원도,09,오락 및 문화,97.361,"기타 오락용품, 조경용품 및 애완동물",89.719
2012,강원도,09,오락 및 문화,97.361,오락 및 문화 서비스,90.004
2012,강원도,09,오락 및 문화,97.361,"신문, 서적 및 문방구",89.145
2012,강원도,09,오락 및 문화,97.361,단체여행,108.703
2012,강원도,10,교육,95.519,유치원 및 초등교육,107.963
2012,강원도,10,교육,95.519,고등교육,103.026
2012,강원도,10,교육,95.519,기타교육,86.095
2012,강원도,11,음식 및 숙박,85.437,음식 서비스,85.565
2012,강원도,11,음식 및 숙박,85.437,숙박 서비스,83.791
2012,강원도,12,기타 상품 및 서비스,83.949,용품 및 미용 서비스,88.814
2012,강원도,12,기타 상품 및 서비스,83.949, 개인용품,78.071
2012,강원도,12,기타 상품 및 서비스,83.949,기타서비스,81.825
2012,경기도,01,식료품 및 비주류음료,85.659,식료품,85.184
2012,경기도,01,식료품 및 비주류음료,85.659,비주류 음료,93.214
2012,경기도,02,주류 및 담배,63.804,주류,84.735
2012,경기도,02,주류 및 담배,63.804,담배,56.388
2012,경기도,03,의류 및 신발,88.171,의류,87.84
2012,경기도,03,의류 및 신발,88.171,신발,90.022
2012,경기도,04,"주택, 수도, 전기 및 연료",89.843,주택임차료,88.109
2012,경기도,04,"주택, 수도, 전기 및 연료",89.843,주거시설 유지 · 보수,75.798
2012,경기도,04,"주택, 수도, 전기 및 연료",89.843,수도 및 주거관련 서비스,71.69
2012,경기도,04,"주택, 수도, 전기 및 연료",89.843,"전기, 가스 및 기타연료",118.288
2012,경기도,05,가정용품 및 가사 서비스,88.275,"가구, 가사비품 및 카페트",80.68
2012,경기도,05,가정용품 및 가사 서비스,88.275,가정용 섬유제품,94.206
2012,경기도,05,가정용품 및 가사 서비스,88.275,가정용 기기,91.259
2012,경기도,05,가정용품 및 가사 서비스,88.275,주방용품 및 가정용품,88.39
2012,경기도,05,가정용품 및 가사 서비스,88.275,가정 · 정원용 공구 및 장비,93.824
2012,경기도,05,가정용품 및 가사 서비스,88.275,일상 생활용품 및 가사 서비스,88.553
2012,경기도,06,보건,94.026,의료용품 및 장비,96.838
2012,경기도,06,보건,94.026,외래환자 서비스,91.467
2012,경기도,06,보건,94.026,병원 서비스,94.877
2012,경기도,07,교통,110.925,운송장비,100.062
2012,경기도,07,교통,110.925,개인운송장비 운영,131.831
2012,경기도,07,교통,110.925,운송 서비스,81.525
2012,경기도,08,통신,105.475,우편서비스,74.34
2012,경기도,08,통신,105.475,전화 및 팩스장비,108.976
2012,경기도,08,통신,105.475,전화 및 팩스 서비스,106.889
2012,경기도,09,오락 및 문화,98.205,"음향, 영상, 사진 및 정보처리 장비",132.522
2012,경기도,09,오락 및 문화,98.205,기타 오락 및 문화용 주요 내구재,101.282
2012,경기도,09,오락 및 문화,98.205,"기타 오락용품, 조경용품 및 애완동물",92.136
2012,경기도,09,오락 및 문화,98.205,오락 및 문화 서비스,90.242
2012,경기도,09,오락 및 문화,98.205,"신문, 서적 및 문방구",88.228
2012,경기도,09,오락 및 문화,98.205,단체여행,108.692
2012,경기도,10,교육,92.588,유치원 및 초등교육,105.219
2012,경기도,10,교육,92.588,고등교육,102.528
2012,경기도,10,교육,92.588,기타교육,85.158
2012,경기도,11,음식 및 숙박,86.495,음식 서비스,86.548
2012,경기도,11,음식 및 숙박,86.495,숙박 서비스,84.929
2012,경기도,12,기타 상품 및 서비스,86.028,용품 및 미용 서비스,90.909
2012,경기도,12,기타 상품 및 서비스,86.028, 개인용품,77.119
2012,경기도,12,기타 상품 및 서비스,86.028,기타서비스,85.139
2012,경상남도,01,식료품 및 비주류음료,86.286,식료품,85.956
2012,경상남도,01,식료품 및 비주류음료,86.286,비주류 음료,91.994
2012,경상남도,02,주류 및 담배,63.16,주류,84.887
2012,경상남도,02,주류 및 담배,63.16,담배,56.397
2012,경상남도,03,의류 및 신발,88.202,의류,87.968
2012,경상남도,03,의류 및 신발,88.202,신발,90.279
2012,경상남도,04,"주택, 수도, 전기 및 연료",97.0,주택임차료,99.341
2012,경상남도,04,"주택, 수도, 전기 및 연료",97.0,주거시설 유지 · 보수,78.889
2012,경상남도,04,"주택, 수도, 전기 및 연료",97.0,수도 및 주거관련 서비스,69.978
2012,경상남도,04,"주택, 수도, 전기 및 연료",97.0,"전기, 가스 및 기타연료",121.692
2012,경상남도,05,가정용품 및 가사 서비스,89.37,"가구, 가사비품 및 카페트",80.0
2012,경상남도,05,가정용품 및 가사 서비스,89.37,가정용 섬유제품,93.66
2012,경상남도,05,가정용품 및 가사 서비스,89.37,가정용 기기,91.513
2012,경상남도,05,가정용품 및 가사 서비스,89.37,주방용품 및 가정용품,88.682
2012,경상남도,05,가정용품 및 가사 서비스,89.37,가정 · 정원용 공구 및 장비,95.996
2012,경상남도,05,가정용품 및 가사 서비스,89.37,일상 생활용품 및 가사 서비스,94.036
2012,경상남도,06,보건,94.274,의료용품 및 장비,98.153
2012,경상남도,06,보건,94.274,외래환자 서비스,91.306
2012,경상남도,06,보건,94.274,병원 서비스,94.236
2012,경상남도,07,교통,113.782,운송장비,100.182
2012,경상남도,07,교통,113.782,개인운송장비 운영,133.801
2012,경상남도,07,교통,113.782,운송 서비스,79.087
2012,경상남도,08,통신,104.969,우편서비스,74.34
2012,경상남도,08,통신,104.969,전화 및 팩스장비,107.604
2012,경상남도,08,통신,104.969,전화 및 팩스 서비스,106.893
2012,경상남도,09,오락 및 문화,96.061,"음향, 영상, 사진 및 정보처리 장비",130.271
2012,경상남도,09,오락 및 문화,96.061,기타 오락 및 문화용 주요 내구재,105.579
2012,경상남도,09,오락 및 문화,96.061,"기타 오락용품, 조경용품 및 애완동물",90.159
2012,경상남도,09,오락 및 문화,96.061,오락 및 문화 서비스,89.454
2012,경상남도,09,오락 및 문화,96.061,"신문, 서적 및 문방구",88.009
2012,경상남도,09,오락 및 문화,96.061,단체여행,108.883
2012,경상남도,10,교육,94.732,유치원 및 초등교육,142.613
2012,경상남도,10,교육,94.732,고등교육,103.005
2012,경상남도,10,교육,94.732,기타교육,86.133
2012,경상남도,11,음식 및 숙박,84.105,음식 서비스,84.164
2012,경상남도,11,음식 및 숙박,84.105,숙박 서비스,84.296
2012,경상남도,12,기타 상품 및 서비스,83.525,용품 및 미용 서비스,86.895
2012,경상남도,12,기타 상품 및 서비스,83.525, 개인용품,78.016
2012,경상남도,12,기타 상품 및 서비스,83.525,기타서비스,82.92
2012,경상북도,01,식료품 및 비주류음료,85.7,식료품,85.436
2012,경상북도,01,식료품 및 비주류음료,85.7,비주류 음료,89.971
2012,경상북도,02,주류 및 담배,62.057,주류,84.943
2012,경상북도,02,주류 및 담배,62.057,담배,56.359
2012,경상북도,03,의류 및 신발,87.442,의류,86.978
2012,경상북도,03,의류 및 신발,87.442,신발,90.523
2012,경상북도,04,"주택, 수도, 전기 및 연료",99.035,주택임차료,98.775
2012,경상북도,04,"주택, 수도, 전기 및 연료",99.035,주거시설 유지 · 보수,81.234
2012,경상북도,04,"주택, 수도, 전기 및 연료",99.035,수도 및 주거관련 서비스,71.21
2012,경상북도,04,"주택, 수도, 전기 및 연료",99.035,"전기, 가스 및 기타연료",122.187
2012,경상북도,05,가정용품 및 가사 서비스,89.643,"가구, 가사비품 및 카페트",79.8
2012,경상북도,05,가정용품 및 가사 서비스,89.643,가정용 섬유제품,92.776
2012,경상북도,05,가정용품 및 가사 서비스,89.643,가정용 기기,90.971
2012,경상북도,05,가정용품 및 가사 서비스,89.643,주방용품 및 가정용품,88.922
2012,경상북도,05,가정용품 및 가사 서비스,89.643,가정 · 정원용 공구 및 장비,95.58
2012,경상북도,05,가정용품 및 가사 서비스,89.643,일상 생활용품 및 가사 서비스,98.675
2012,경상북도,06,보건,94.335,의료용품 및 장비,98.097
2012,경상북도,06,보건,94.335,외래환자 서비스,91.402
2012,경상북도,06,보건,94.335,병원 서비스,94.953
2012,경상북도,07,교통,118.073,운송장비,100.201
2012,경상북도,07,교통,118.073,개인운송장비 운영,134.743
2012,경상북도,07,교통,118.073,운송 서비스,85.861
2012,경상북도,08,통신,105.464,우편서비스,74.34
2012,경상북도,08,통신,105.464,전화 및 팩스장비,109.204
2012,경상북도,08,통신,105.464,전화 및 팩스 서비스,106.872
2012,경상북도,09,오락 및 문화,96.485,"음향, 영상, 사진 및 정보처리 장비",137.27
2012,경상북도,09,오락 및 문화,96.485,기타 오락 및 문화용 주요 내구재,102.151
2012,경상북도,09,오락 및 문화,96.485,"기타 오락용품, 조경용품 및 애완동물",90.598
2012,경상북도,09,오락 및 문화,96.485,오락 및 문화 서비스,88.05
2012,경상북도,09,오락 및 문화,96.485,"신문, 서적 및 문방구",87.845
2012,경상북도,09,오락 및 문화,96.485,단체여행,109.447
2012,경상북도,10,교육,93.087,유치원 및 초등교육,163.621
2012,경상북도,10,교육,93.087,고등교육,103.677
2012,경상북도,10,교육,93.087,기타교육,83.318
2012,경상북도,11,음식 및 숙박,86.614,음식 서비스,86.748
2012,경상북도,11,음식 및 숙박,86.614,숙박 서비스,84.548
2012,경상북도,12,기타 상품 및 서비스,86.306,용품 및 미용 서비스,92.267
2012,경상북도,12,기타 상품 및 서비스,86.306, 개인용품,77.13
2012,경상북도,12,기타 상품 및 서비스,86.306,기타서비스,82.385
2012,광주광역시,01,식료품 및 비주류음료,86.21,식료품,85.88
2012,광주광역시,01,식료품 및 비주류음료,86.21,비주류 음료,92.107
2012,광주광역시,02,주류 및 담배,62.125,주류,86.82
2012,광주광역시,02,주류 및 담배,62.125,담배,56.355
2012,광주광역시,03,의류 및 신발,86.879,의류,86.464
2012,광주광역시,03,의류 및 신발,86.879,신발,89.634
2012,광주광역시,04,"주택, 수도, 전기 및 연료",93.014,주택임차료,91.752
2012,광주광역시,04,"주택, 수도, 전기 및 연료",93.014,주거시설 유지 · 보수,78.268
2012,광주광역시,04,"주택, 수도, 전기 및 연료",93.014,수도 및 주거관련 서비스,69.998
2012,광주광역시,04,"주택, 수도, 전기 및 연료",93.014,"전기, 가스 및 기타연료",119.615
2012,광주광역시,05,가정용품 및 가사 서비스,89.962,"가구, 가사비품 및 카페트",79.966
2012,광주광역시,05,가정용품 및 가사 서비스,89.962,가정용 섬유제품,93.162
2012,광주광역시,05,가정용품 및 가사 서비스,89.962,가정용 기기,91.676
2012,광주광역시,05,가정용품 및 가사 서비스,89.962,주방용품 및 가정용품,89.333
2012,광주광역시,05,가정용품 및 가사 서비스,89.962,가정 · 정원용 공구 및 장비,100.497
2012,광주광역시,05,가정용품 및 가사 서비스,89.962,일상 생활용품 및 가사 서비스,93.178
2012,광주광역시,06,보건,94.197,의료용품 및 장비,94.481
2012,광주광역시,06,보건,94.197,외래환자 서비스,92.749
2012,광주광역시,06,보건,94.197,병원 서비스,96.428
2012,광주광역시,07,교통,114.018,운송장비,100.038
2012,광주광역시,07,교통,114.018,개인운송장비 운영,133.762
2012,광주광역시,07,교통,114.018,운송 서비스,85.511
2012,광주광역시,08,통신,105.627,우편서비스,74.34
2012,광주광역시,08,통신,105.627,전화 및 팩스장비,108.971
2012,광주광역시,08,통신,105.627,전화 및 팩스 서비스,106.851
2012,광주광역시,09,오락 및 문화,96.217,"음향, 영상, 사진 및 정보처리 장비",131.42
2012,광주광역시,09,오락 및 문화,96.217,기타 오락 및 문화용 주요 내구재,97.712
2012,광주광역시,09,오락 및 문화,96.217,"기타 오락용품, 조경용품 및 애완동물",91.37
2012,광주광역시,09,오락 및 문화,96.217,오락 및 문화 서비스,87.838
2012,광주광역시,09,오락 및 문화,96.217,"신문, 서적 및 문방구",88.222
2012,광주광역시,09,오락 및 문화,96.217,단체여행,109.064
2012,광주광역시,10,교육,94.939,유치원 및 초등교육,134.073
2012,광주광역시,10,교육,94.939,고등교육,104.291
2012,광주광역시,10,교육,94.939,기타교육,83.569
2012,광주광역시,11,음식 및 숙박,85.243,음식 서비스,85.435
2012,광주광역시,11,음식 및 숙박,85.243,숙박 서비스,81.561
2012,광주광역시,12,기타 상품 및 서비스,83.105,용품 및 미용 서비스,89.461
2012,광주광역시,12,기타 상품 및 서비스,83.105, 개인용품,77.17
2012,광주광역시,12,기타 상품 및 서비스,83.105,기타서비스,80.058
2012,대구광역시,01,식료품 및 비주류음료,84.829,식료품,84.382
2012,대구광역시,01,식료품 및 비주류음료,84.829,비주류 음료,91.478
2012,대구광역시,02,주류 및 담배,61.827,주류,86.083
2012,대구광역시,02,주류 및 담배,61.827,담배,56.385
2012,대구광역시,03,의류 및 신발,86.836,의류,86.429
2012,대구광역시,03,의류 및 신발,86.836,신발,89.356
2012,대구광역시,04,"주택, 수도, 전기 및 연료",92.067,주택임차료,90.066
2012,대구광역시,04,"주택, 수도, 전기 및 연료",92.067,주거시설 유지 · 보수,75.492
2012,대구광역시,04,"주택, 수도, 전기 및 연료",92.067,수도 및 주거관련 서비스,70.901
2012,대구광역시,04,"주택, 수도, 전기 및 연료",92.067,"전기, 가스 및 기타연료",119.548
2012,대구광역시,05,가정용품 및 가사 서비스,87.63,"가구, 가사비품 및 카페트",79.312
2012,대구광역시,05,가정용품 및 가사 서비스,87.63,가정용 섬유제품,92.363
2012,대구광역시,05,가정용품 및 가사 서비스,87.63,가정용 기기,90.323
2012,대구광역시,05,가정용품 및 가사 서비스,87.63,주방용품 및 가정용품,93.763
2012,대구광역시,05,가정용품 및 가사 서비스,87.63,가정 · 정원용 공구 및 장비,93.951
2012,대구광역시,05,가정용품 및 가사 서비스,87.63,일상 생활용품 및 가사 서비스,86.661
2012,대구광역시,06,보건,93.481,의료용품 및 장비,98.303
2012,대구광역시,06,보건,93.481,외래환자 서비스,90.665
2012,대구광역시,06,보건,93.481,병원 서비스,94.368
2012,대구광역시,07,교통,116.244,운송장비,99.745
2012,대구광역시,07,교통,116.244,개인운송장비 운영,133.93
2012,대구광역시,07,교통,116.244,운송 서비스,87.0
2012,대구광역시,08,통신,105.472,우편서비스,74.34
2012,대구광역시,08,통신,105.472,전화 및 팩스장비,109.371
2012,대구광역시,08,통신,105.472,전화 및 팩스 서비스,106.875
2012,대구광역시,09,오락 및 문화,96.676,"음향, 영상, 사진 및 정보처리 장비",133.073
2012,대구광역시,09,오락 및 문화,96.676,기타 오락 및 문화용 주요 내구재,104.115
2012,대구광역시,09,오락 및 문화,96.676,"기타 오락용품, 조경용품 및 애완동물",90.761
2012,대구광역시,09,오락 및 문화,96.676,오락 및 문화 서비스,88.907
2012,대구광역시,09,오락 및 문화,96.676,"신문, 서적 및 문방구",86.899
2012,대구광역시,09,오락 및 문화,96.676,단체여행,109.107
2012,대구광역시,10,교육,92.534,유치원 및 초등교육,109.285
2012,대구광역시,10,교육,92.534,고등교육,103.804
2012,대구광역시,10,교육,92.534,기타교육,82.854
2012,대구광역시,11,음식 및 숙박,82.481,음식 서비스,82.435
2012,대구광역시,11,음식 및 숙박,82.481,숙박 서비스,85.432
2012,대구광역시,12,기타 상품 및 서비스,82.64,용품 및 미용 서비스,86.615
2012,대구광역시,12,기타 상품 및 서비스,82.64, 개인용품,76.653
2012,대구광역시,12,기타 상품 및 서비스,82.64,기타서비스,81.666
2012,대전광역시,01,식료품 및 비주류음료,86.231,식료품,85.97
2012,대전광역시,01,식료품 및 비주류음료,86.231,비주류 음료,90.765
2012,대전광역시,02,주류 및 담배,62.737,주류,81.628
2012,대전광역시,02,주류 및 담배,62.737,담배,56.365
2012,대전광역시,03,의류 및 신발,88.683,의류,88.522
2012,대전광역시,03,의류 및 신발,88.683,신발,89.994
2012,대전광역시,04,"주택, 수도, 전기 및 연료",95.159,주택임차료,94.145
2012,대전광역시,04,"주택, 수도, 전기 및 연료",95.159,주거시설 유지 · 보수,77.688
2012,대전광역시,04,"주택, 수도, 전기 및 연료",95.159,수도 및 주거관련 서비스,76.755
2012,대전광역시,04,"주택, 수도, 전기 및 연료",95.159,"전기, 가스 및 기타연료",119.01
2012,대전광역시,05,가정용품 및 가사 서비스,90.054,"가구, 가사비품 및 카페트",80.625
2012,대전광역시,05,가정용품 및 가사 서비스,90.054,가정용 섬유제품,95.625
2012,대전광역시,05,가정용품 및 가사 서비스,90.054,가정용 기기,90.798
2012,대전광역시,05,가정용품 및 가사 서비스,90.054,주방용품 및 가정용품,90.457
2012,대전광역시,05,가정용품 및 가사 서비스,90.054,가정 · 정원용 공구 및 장비,93.121
2012,대전광역시,05,가정용품 및 가사 서비스,90.054,일상 생활용품 및 가사 서비스,93.751
2012,대전광역시,06,보건,94.597,의료용품 및 장비,96.101
2012,대전광역시,06,보건,94.597,외래환자 서비스,92.965
2012,대전광역시,06,보건,94.597,병원 서비스,97.063
2012,대전광역시,07,교통,114.95,운송장비,100.119
2012,대전광역시,07,교통,114.95,개인운송장비 운영,134.632
2012,대전광역시,07,교통,114.95,운송 서비스,88.315
2012,대전광역시,08,통신,105.499,우편서비스,74.34
